StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Prolific ID,STATUS,Public Sector,Public Sector_DO,Budgeting,Budgeting_DO,Safety Buffer,Safety Buffer_DO,Scenario1_Answer_1,Scenario1_Explainer,Scenario1_ComprCheck,AI_Updates_1,AI_Resubmission13_1,AI_Resubmission14,NoAI_Updates_1,NoAI_Resubmission13_1,NoAI_Resubmission14,Manip_Check,WorkExp_1,Your Background,Feedback,PROLIFIC_PID,FL_23_DO,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Scenario1_FinalAnswer
08/03/2024 15:50,08/03/2024 15:55,IP Address,86.158.191.199,100,340,TRUE,08/03/2024 15:55,R_2ZC5xPlbx2Aq3GQ,,,,,51.1099,-0.7323,anonymous,EN,"Yes, I consent to participate",561b6038811d220005f31397,AWAITING REVIEW,Plan their financial capital need,Forecast citizen wellbeing|Reduce internal communications|Plan their financial capital need,Budgeting helps to improve resource planning,Budgeting helps to market an organization to its customers|Budgeting helps to improve resource planning|Budgeting completely ignores the performance of the past,Budgeting expenses higher than expected,Refraining from any budgeting activities|Budgeting expenses lower than expected|Budgeting expenses higher than expected,150107,Wanted to cut the budget to reduce the likely underspend and mindful that this budget easily exceeds the actual spend over the last two years so would imagine it is more than enough.,132033,,,,I will stick to my budgeted expenses,,,No,37,Work as a government statistician,,561b6038811d220005f31397,FL_76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150107
08/03/2024 15:50,08/03/2024 15:56,IP Address,109.150.24.129,100,384,TRUE,08/03/2024 15:56,R_2UZOEig4RT0F1CN,,,,,51.167,0.2383,anonymous,EN,"Yes, I consent to participate",63ea52773c5861d1f32c4bdb,AWAITING REVIEW,Plan their financial capital need,Forecast citizen wellbeing|Reduce internal communications|Plan their financial capital need,Budgeting helps to improve resource planning,Budgeting helps to market an organization to its customers|Budgeting helps to improve resource planning|Budgeting completely ignores the performance of the past,Budgeting expenses higher than expected,Refraining from any budgeting activities|Budgeting expenses lower than expected|Budgeting expenses higher than expected,166729,"Budgeted expenses generally rose from Y1 until Y7, and actual expenses generally rose too. But from Y7 to Y9, there is a downward movement in budgeted expenses as well as a downward trend in actual expenses. For Y8 and Y9, safety buffer was +40k above actual expenses. Given the recent year trends, it's safe to assume that budgeted expenses as well as actual expenses will be lower, too.",132033,I want to update my budgeted expenses,154933,"From Y1 to Y7, budgeted and actual expenses generally rose. However from Y7 to Y9 there was a downward trend in both budgeted and actual expenses, with a safety buffer of circa 40k. For Y10 it's reasonable to assume this trend will continue, so the Y10 budget is placed as circa 155k.",,,,Yes,10,Commercial Analyst.,,63ea52773c5861d1f32c4bdb,FL_74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154933
08/03/2024 15:49,08/03/2024 15:57,IP Address,81.170.93.127,100,482,TRUE,08/03/2024 15:57,R_7oEGKmGBc3J4gmt,,,,,51.521,-3.2037,anonymous,EN,"Yes, I consent to participate",5fd000fb59f1540347d18088,AWAITING REVIEW,Plan their financial capital need,Forecast citizen wellbeing|Reduce internal communications|Plan their financial capital need,Budgeting helps to improve resource planning,Budgeting helps to market an organization to its customers|Budgeting helps to improve resource planning|Budgeting completely ignores the performance of the past,Budgeting expenses higher than expected,Refraining from any budgeting activities|Budgeting expenses lower than expected|Budgeting expenses higher than expected,142064,"Looking at the data there is always quite a big surplus in the safety, so i have thereofe reduced what i think that is (i reckon about 20k fot saftey), and as the actual expenses is trending down i have also reduced that by just under 10%),",132033,,,,I will stick to my budgeted expenses,,,No,14,Engineering consultant and project manager,,5fd000fb59f1540347d18088,FL_76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142064
08/03/2024 15:44,08/03/2024 15:57,IP Address,142.167.78.90,100,771,TRUE,08/03/2024 15:57,R_5hEmuz7FO4miEf4,,,,,45.2701,-66.0636,anonymous,EN,"Yes, I consent to participate",611162931df90341d92aa708,AWAITING REVIEW,Plan their financial capital need,Plan their financial capital need|Reduce internal communications|Forecast citizen wellbeing,Budgeting helps to improve resource planning,Budgeting completely ignores the performance of the past|Budgeting helps to improve resource planning|Budgeting helps to market an organization to its customers,Budgeting expenses higher than expected,Budgeting expenses higher than expected|Budgeting expenses lower than expected|Refraining from any budgeting activities,190054,I tried to select a value that was roughly on average with the last 10 years of data. This value will allow me to complete work of my actual budget and have a decent safety buffer if needed.,132033,,,,I will stick to my budgeted expenses,,,No,13,Working professional in science and government,,611162931df90341d92aa708,FL_76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190054
08/03/2024 15:49,08/03/2024 15:57,IP Address,24.222.225.178,100,439,TRUE,08/03/2024 15:57,R_5nUaUwQM8SkBlhv,,,,,44.9764,-64.1393,anonymous,EN,"Yes, I consent to participate",6111a7ef0b637b8d0eca2053,AWAITING REVIEW,Plan their financial capital need,Plan their financial capital need|Reduce internal communications|Forecast citizen wellbeing,Budgeting helps to improve resource planning,Budgeting completely ignores the performance of the past|Budgeting helps to improve resource planning|Budgeting helps to market an organization to its customers,Budgeting expenses higher than expected,Budgeting expenses higher than expected|Budgeting expenses lower than expected|Refraining from any budgeting activities,172359,I wanted it to be right on with the past year's budget as I think it would be less than this but just in case the actual will increase (because I don't know why the current trend is down) means that I should leave some room for an increase. ,132033,I want to update my budgeted expenses,151716,"I think that the 24% surprised me so I wanted to put it down as the trend is going down about 20,000 each year. ",,,,Yes,17,Marketing but now a IB business management teacher.,Fun!,6111a7ef0b637b8d0eca2053,FL_74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151716
08/03/2024 15:50,08/03/2024 15:57,IP Address,50.101.82.165,100,424,TRUE,08/03/2024 15:57,R_2OrBM58rm4ua8Ix,,,,,43.6906,-79.4812,anonymous,EN,"Yes, I consent to participate",5ebc3097a9c38504ebd8a347,AWAITING REVIEW,Plan their financial capital need,Plan their financial capital need|Reduce internal communications|Forecast citizen wellbeing,Budgeting helps to improve resource planning,Budgeting completely ignores the performance of the past|Budgeting helps to improve resource planning|Budgeting helps to market an organization to its customers,Budgeting expenses higher than expected,Budgeting expenses higher than expected|Budgeting expenses lower than expected|Refraining from any budgeting activities,159491,"The capital budget has been dropping for the last few years.  The implication is that it will drop further as fewer capital projects are required.  That being said, you can't budget for last year's expenses, you have to have the budget for the unexpected so putting the budget about $20,000 over the previous year's expenses should be enough buffer.",132033,,,,I will stick to my budgeted expenses,,,No,18,I am a project manager for IT projects,,5ebc3097a9c38504ebd8a347,FL_76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159491
08/03/2024 15:47,08/03/2024 15:57,IP Address,2.220.58.250,100,593,TRUE,08/03/2024 15:57,R_2rNVaEgPxnsrVvm,,,,,52.9029,-1.5046,anonymous,EN,"Yes, I consent to participate",5b79b92355860100014774f0,AWAITING REVIEW,Plan their financial capital need,Plan their financial capital need|Reduce internal communications|Forecast citizen wellbeing,Budgeting helps to improve resource planning,Budgeting completely ignores the performance of the past|Budgeting helps to improve resource planning|Budgeting helps to market an organization to its customers,Budgeting expenses higher than expected,Budgeting expenses higher than expected|Budgeting expenses lower than expected|Refraining from any budgeting activities,149839,"The actual expenditure each year was well below the budget. I chose to slightly decrease the budget from last years as it was significantly underspent, but left enough for a decent safety net. However, my budget allowed for expenses to be higher than the previous year, but not by a massive amount.",132033,I will stick to my budgeted expenses,,,,,,Yes,44,Former teacher who now works in family business,,5b79b92355860100014774f0,FL_74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149839
08/03/2024 15:52,08/03/2024 15:57,IP Address,51.148.155.116,100,303,TRUE,08/03/2024 15:57,R_7nwTBpS3vq9nwac,,,,,51.5268,-0.187,anonymous,EN,"Yes, I consent to participate",5d4960da4f91710019d9fc14,AWAITING REVIEW,Plan their financial capital need,Plan their financial capital need|Reduce internal communications|Forecast citizen wellbeing,Budgeting helps to improve resource planning,Budgeting completely ignores the performance of the past|Budgeting helps to improve resource planning|Budgeting helps to market an organization to its customers,Budgeting expenses higher than expected,Budgeting expenses higher than expected|Budgeting expenses lower than expected|Refraining from any budgeting activities,189786,"Sufficiently large to cover the actual expenditure over the last few years, but with a likelihood of actually having a buffer",132033,I will stick to my budgeted expenses,,,,,,Yes,32,Chartered Mechanical engineer specialising in occupant protection in automotive crash,,5d4960da4f91710019d9fc14,FL_74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189786
08/03/2024 15:49,08/03/2024 15:58,IP Address,86.11.207.73,100,530,TRUE,08/03/2024 15:58,R_7f98PTX5QfZgnOp,,,,,51.5043,-0.2211,anonymous,EN,"Yes, I consent to participate",5ad23186d9f7470001db1a6f,AWAITING REVIEW,Plan their financial capital need,Plan their financial capital need|Reduce internal communications|Forecast citizen wellbeing,Budgeting helps to improve resource planning,Budgeting completely ignores the performance of the past|Budgeting helps to improve resource planning|Budgeting helps to market an organization to its customers,Budgeting expenses higher than expected,Budgeting expenses higher than expected|Budgeting expenses lower than expected|Refraining from any budgeting activities,180134,"For the last 9 years, most of the actual expenses have been below £186,000. there were 3 years that were slightly higher than that. Previously the budgets have had quite a high buffer of over £20,000. particularly in the last 2 years, the buffer has been over £40,000. So I have estimated that we will spend approx £150,000 to £160,000 of actual income and I have included a small buffer of £20,000 to £30,000.",132033,I want to update my budgeted expenses,160831,"I have included a buffer of £20,000 as the previous buffers have been about that amount.",,,,Yes,15,I am a not for profit fundraising expert.,,5ad23186d9f7470001db1a6f,FL_74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160831
08/03/2024 15:53,08/03/2024 15:58,IP Address,90.204.217.177,100,289,TRUE,08/03/2024 15:58,R_1DZCGsAiT4qlg7y,,,,,52.3325,-0.1844,anonymous,EN,"Yes, I consent to participate",5999aedebbe8480001796677,AWAITING REVIEW,Plan their financial capital need,Forecast citizen wellbeing|Reduce internal communications|Plan their financial capital need,Budgeting helps to improve resource planning,Budgeting helps to market an organization to its customers|Budgeting helps to improve resource planning|Budgeting completely ignores the performance of the past,Budgeting expenses higher than expected,Refraining from any budgeting activities|Budgeting expenses lower than expected|Budgeting expenses higher than expected,184692,it will be more than the previous year,132033,,,,I will stick to my budgeted expenses,,,No,25,nurse,,5999aedebbe8480001796677,FL_76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184692
08/03/2024 15:44,08/03/2024 15:58,IP Address,1.159.15.82,100,830,TRUE,08/03/2024 15:58,R_4OzXK85CcnPCaWJ,,,,,-37.8159,144.9669,anonymous,EN,"Yes, I consent to participate",5e6babd0d0031115b8a7bbbf,AWAITING REVIEW,Plan their financial capital need,Forecast citizen wellbeing|Reduce internal communications|Plan their financial capital need,Budgeting helps to improve resource planning,Budgeting helps to market an organization to its customers|Budgeting helps to improve resource planning|Budgeting completely ignores the performance of the past,Budgeting expenses higher than expected,Refraining from any budgeting activities|Budgeting expenses lower than expected|Budgeting expenses higher than expected,183680,"I took the mean value of all nine former year actual expenses and roughly got $144,000. I did the same with the budgeted expenses and calculated the value to be $172,000. I considered the maximum and minimum numbers for the actual expenses and decided to take half-way between the average budgeted expenses and maximum budgeted expenses to play it safe.",132033,I will stick to my budgeted expenses,,,,,,Yes,4,Secretary.,,5e6babd0d0031115b8a7bbbf,FL_74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183680
08/03/2024 15:49,08/03/2024 15:59,IP Address,92.28.45.157,100,575,TRUE,08/03/2024 15:59,R_28GL5i5U4IY56XZ,,,,,53.8094,-3.0007,anonymous,EN,"Yes, I consent to participate",5f60fad1438cb2026e428741,AWAITING REVIEW,Plan their financial capital need,Plan their financial capital need|Reduce internal communications|Forecast citizen wellbeing,Budgeting helps to improve resource planning,Budgeting completely ignores the performance of the past|Budgeting helps to improve resource planning|Budgeting helps to market an organization to its customers,Budgeting expenses higher than expected,Budgeting expenses higher than expected|Budgeting expenses lower than expected|Refraining from any budgeting activities,180670,The budget over the past few years has been less but the average over the years shown is about £160000 so adding a buffer would produce £180000,132033,,,,I will stick to my budgeted expenses,,,No,30,I have a varied work background but I mainly worked in healthcare,,5f60fad1438cb2026e428741,FL_76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180670
08/03/2024 15:52,08/03/2024 15:59,IP Address,146.198.31.26,100,405,TRUE,08/03/2024 15:59,R_2MyOD3OwolEU90N,,,,,52.9453,-1.4953,anonymous,EN,"Yes, I consent to participate",62cd6efa6212ae6777eb7db1,AWAITING REVIEW,Plan their financial capital need,Forecast citizen wellbeing|Reduce internal communications|Plan their financial capital need,Budgeting helps to improve resource planning,Budgeting helps to market an organization to its customers|Budgeting helps to improve resource planning|Budgeting completely ignores the performance of the past,Budgeting expenses higher than expected,Refraining from any budgeting activities|Budgeting expenses lower than expected|Budgeting expenses higher than expected,160563,"I am taking a chance that there is a downward trend in these expenses, although they were at a historic low last year. Therefore I'm expecting that actual expenses might end up the same or slightly higher than last year, and that I can trim the budget sum while preserving quite a good safety margin (though a little less than in the last two years, in the hope of being more accurate in my assumptions)",132033,I will stick to my budgeted expenses,,,,,,Yes,23,I am degree educated in modern languages and have worked in non-fiction publishing in a variety of roles during my career,,62cd6efa6212ae6777eb7db1,FL_74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160563
08/03/2024 15:52,08/03/2024 15:59,IP Address,2.217.152.186,100,425,TRUE,08/03/2024 15:59,R_7iRxeXtQPuedAPv,,,,,52.4799,1.2356,anonymous,EN,"Yes, I consent to participate",5acfdb527677430001c8f1e9,AWAITING REVIEW,Plan their financial capital need,Plan their financial capital need|Reduce internal communications|Forecast citizen wellbeing,Budgeting helps to improve resource planning,Budgeting completely ignores the performance of the past|Budgeting helps to improve resource planning|Budgeting helps to market an organization to its customers,Budgeting expenses higher than expected,Budgeting expenses higher than expected|Budgeting expenses lower than expected|Refraining from any budgeting activities,185496,"The general trend is to not use more than 175k for ""DO"" so to allow for extra expenses I have included an extra 10k for a buffer. It is likely, based on past trends, that this will cover the cost needed.",132033,,,,I will stick to my budgeted expenses,,,No,2,I have mainly worked in customer service,,5acfdb527677430001c8f1e9,FL_76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185496
08/03/2024 15:53,08/03/2024 15:59,IP Address,51.14.191.203,100,334,TRUE,08/03/2024 15:59,R_1oUddI6PIU3x8E5,,,,,51.4895,-2.509,anonymous,EN,"Yes, I consent to participate",634e7e0695471fa84bfe5f2f,AWAITING REVIEW,Plan their financial capital need,Plan their financial capital need|Reduce internal communications|Forecast citizen wellbeing,Budgeting helps to improve resource planning,Budgeting completely ignores the performance of the past|Budgeting helps to improve resource planning|Budgeting helps to market an organization to its customers,Budgeting expenses higher than expected,Budgeting expenses higher than expected|Budgeting expenses lower than expected|Refraining from any budgeting activities,150912,Always better and prefer to have more money left over than not enough money to pay for this. Too much of a buffer is still an issue as you're not using the resources effectively enough.,132033,I will stick to my budgeted expenses,,,,,,Yes,4,Policy Advisor in government.,,634e7e0695471fa84bfe5f2f,FL_74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150912
