Year,Canton,Einwohner in 1000,pro km²,Veränderung in %,Ausländer in %,Altersverteilung in % 0–19,Altersverteilung in % 20–64,Altersverteilung in % 65 und mehr,Städtische Bevölkerung in %,Deutsch,Französisch,Italienisch,Rätoromanisch,Englisch,Römisch-katholisch ,Evangelisch-reformiert,Ohne Religionszugehörigkeit,Siedlungsflächen in %,Landwirtschaftsflächen in %,Wald und Gehölze in %,Unproduktive Flächen in %,Nettoerwerbsquote (15-64-Jährige),Arbeitslosenquote (gemäss SECO),Bruttoinlandprodukt pro Einwohner in Fr.,Veränderung des kantonalen BIP in %,"Beschäftigte, Total in 1000",im 1. Sektor,im 2. Sektor,im 3. Sektor,"Arbeitsstätten, Total",im 1. Sektor.1,im 2. Sektor.1,im 3. Sektor.1,Neu gebaute Wohnungen pro 1000 Einwohner,Leerwohnungsziffer,Personenwagen pro 1000 Einwohner,Hauptverkehrsmittel der erwerbstätigen Pendler in % Öffentlicher Verkehr ,Hauptverkehrsmittel der erwerbstätigen Pendler in % Motorisierter Individualverkehr,Sozialhilfequote,Ärtze im ambulanten Sektor pro 100 000 Einwohner,Spitäler Betten pro 1000 Einwohner,Spitäler Hospitalisierungsrate der Akutpflege (pro 1000 Einwohner) ,Ohne nachobligatorische Ausbildung (ab 25 Jahren),Sekundarstufe II (ab 25 Jahren),Tertiärstufe (ab 25 Jahren),FDP,CVP,SP,SVP,BDP,EVP/CSP,GLP,PdA/Sol.,GPS,Kleine Rechtsparteien,Anzahl Privathaushalte in 1000,Durchschnittliche Haushaltsgrösse in Personen,Wohneigentumsquote,Bevölkerungsbewegung (in ‰) Rohe Heiratsziffer,Bevölkerungsbewegung (in ‰) Rohe Scheidungsziffer,Bevölkerungsbewegung (in ‰) Rohe Geburtenziffer,Bevölkerungsbewegung (in ‰) Rohe Sterbeziffer,Veränderung in %.1,Veränderung in %.2,Anteil Biofläche an der gesamten landwirtschaftlichen Nutzfläche in %,Landwirtschaftliche Nutzfläche pro Betrieb in ha,Durchschnittliche Wohnfläche pro Bewohner in m²,Ankünfte in Hotels und Kurbetrieben in 1000,Logiernächte in Hotels und Kurbetrieben in 1000,Spitäler Durchschnittliche Spitalaufenthaltsdauer bei der Akutpflege in Tagen,Hochschulabschlussquote,gemäss Strafgesetzbuch (StGB) ,gemäss Betäubungsmittelgesetz (BetmG) ,gemäss Ausländergesetz (AuG)
2013,SO,256.99,325.1,0.7,19.7,19.9,62.0,18.0,77.6,89.5,2.6,4.8,0.0,2.4,37.3,24.7,24.1,12.4,43.4,43.2,1.0,81.8,2.44,59457.586706599286,3.235505285211418,122.208,4.652,41.137,76.419,12892.0,1671.0,2725.0,8496.0,4.9,1.98,558.0,19.3862476986108,54.88112824468588,3.2,160.0,2.8,122.3,22.6,53.2,23.1,18.4,17.9,18.3,24.3,4.4,1.5,5.0,0.0,7.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,BS,186.255,5033.9,0.7,33.1,16.5,62.7,20.7,100.0,80.8,6.1,6.8,0.0,7.4,20.4,19.0,42.2,70.7,12.1,12.8,4.4,77.8,3.65,147229.3906847576,3.4374605629064794,159.215,0.07,35.207,123.938,10736.0,22.0,1269.0,9445.0,2.0,0.46,360.0,45.94870266801137,17.31113046667278,5.9,402.0,11.7,366.8,22.8,40.0,34.9,12.3,6.5,29.1,16.5,2.2,2.5,5.8,0.0,13.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,BL,275.36,532.0,0.3,19.6,19.6,60.4,20.0,91.8,89.3,4.0,5.6,0.0,4.4,29.1,34.5,23.8,16.3,41.3,41.8,0.6,79.8,2.72,69563.07307929001,3.0334094275919035,127.883,3.464,39.872,84.547,12945.0,1058.0,2540.0,9347.0,4.6,0.44,510.0,34.915410207404264,40.632830749628376,2.3,217.0,4.5,136.4,18.8,52.5,27.4,11.5,8.2,24.4,26.9,6.4,3.3,5.0,0.0,13.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,SH,77.139,258.7,1.0,23.6,19.3,61.0,19.6,75.9,89.0,0.0,0.0,0.0,0.0,23.2,40.2,20.6,10.6,45.0,43.1,1.3,81.0,2.53,76087.10629186124,7.665594978552055,39.926,1.973,13.775,24.178,4477.0,670.0,805.0,3002.0,4.8,1.07,543.0,26.68505516549649,44.8370110330993,2.3,195.0,4.0,141.3,22.9,50.2,25.7,12.3,5.2,34.6,39.9,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,AR,53.313,219.5,0.6,14.5,21.3,60.8,17.9,53.0,92.7,0.0,0.0,0.0,0.0,31.0,41.8,0.0,8.4,56.1,34.1,1.4,81.7,1.52,48556.51337060449,4.599784031640161,22.949,1.852,7.678,13.419,3678.0,824.0,679.0,2175.0,2.3,1.67,535.0,18.867924528301888,50.40129540974373,1.8,156.0,8.9,275.7,24.3,51.5,22.9,51.5,10.6,0.0,30.5,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,AI,15.743,91.3,0.4,10.1,23.8,59.2,17.0,0.0,93.8,0.0,0.0,0.0,0.0,74.0,0.0,0.0,4.2,55.7,31.8,8.4,81.3,1.21,49231.44362266918,7.917668087558328,7.275,1.169,2.218,3.888,1424.0,553.0,238.0,633.0,3.0,0.86,543.0,0.0,47.850732168162494,0.9,102.0,2.9,118.1,26.6,54.5,18.2,0.0,76.1,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,SG,483.156,247.7,0.9,22.1,21.7,61.9,16.4,66.9,90.0,1.2,3.5,0.0,2.3,48.1,22.9,14.1,8.7,47.9,30.6,12.8,81.5,2.31,64189.70249352549,4.582682990251309,254.71,12.521,87.72,154.469,28079.0,4781.0,5622.0,17676.0,5.4,1.46,528.0,20.86496709574078,50.78912326070595,2.1,169.0,4.7,172.7,23.4,52.0,23.2,12.3,20.3,16.7,31.5,3.8,1.8,6.0,0.0,6.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,GR,193.388,27.2,0.4,17.0,19.2,62.4,18.4,50.0,76.3,0.0,12.3,15.6,2.4,44.3,35.4,12.5,1.8,29.8,26.7,41.7,82.1,1.61,58027.15267642883,2.8410301039304886,103.007,7.843,24.887,70.277,14593.0,2916.0,2402.0,9275.0,7.8,0.98,531.0,17.195640541834464,41.52374515381077,1.1,170.0,6.6,198.7,23.7,53.5,21.5,11.9,16.7,15.6,24.5,20.4,0.0,8.2,0.0,2.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,AG,618.298,443.2,1.1,22.3,20.9,63.2,15.9,65.9,89.4,2.3,5.1,0.0,3.6,35.7,29.0,20.7,15.4,45.3,36.9,2.4,81.6,2.69,64602.23219733459,1.158300059174969,285.337,11.711,95.844,177.782,31512.0,3927.0,6055.0,21530.0,6.0,1.61,569.0,21.292571655555324,53.96495554969275,1.9,155.0,4.7,163.5,20.4,52.7,25.5,11.5,10.6,18.0,34.8,6.1,3.2,5.7,0.0,7.3,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,TG,251.973,292.0,1.4,22.1,21.7,62.6,15.7,50.0,91.0,1.3,4.1,0.0,2.2,32.9,37.3,15.7,11.2,53.2,21.5,14.1,81.7,2.18,55089.073913329164,5.234179224055467,115.146,9.087,40.56,65.499,14893.0,3076.0,3088.0,8729.0,7.6,1.43,592.0,15.681141829295935,56.02246221565774,1.6,142.0,5.7,160.4,23.1,53.3,22.5,11.3,14.4,12.1,38.7,5.0,2.9,5.2,0.0,7.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,TI,336.943,122.9,1.0,26.2,18.8,60.4,20.8,87.9,11.1,5.3,87.7,0.0,2.9,69.1,4.5,15.9,5.1,14.3,48.8,31.7,72.5,4.36,65230.21306091311,2.3909242129854493,181.212,3.262,47.848,130.102,21553.0,1143.0,3564.0,16846.0,4.8,0.83,624.0,14.179734054662076,59.32683423276243,2.0,194.0,5.1,171.0,27.7,45.2,24.8,24.8,20.0,16.6,9.7,0.0,0.0,0.0,1.2,6.7,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,VD,725.944,257.2,1.8,31.6,22.6,61.6,15.8,74.7,7.1,85.0,5.2,0.0,7.2,31.1,28.9,25.7,8.4,43.4,31.8,16.4,78.4,4.65,65564.32786492254,3.329097246528424,340.244,14.496,66.132,259.616,37200.0,4522.0,6089.0,26589.0,7.1,0.56,526.0,24.914967449597064,49.06191746250251,4.9,233.0,4.9,168.2,26.1,39.7,32.1,16.3,4.6,25.1,22.9,0.8,1.1,5.1,3.9,11.6,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,VS,317.022,60.8,1.4,21.2,20.9,61.7,17.4,56.8,28.0,66.5,3.7,0.0,2.5,75.4,6.4,10.3,3.1,20.3,22.8,53.8,77.6,3.52,54762.77423067868,3.312440916876673,141.29,10.864,37.249,93.177,19841.0,4322.0,3273.0,12246.0,9.8,1.13,612.0,13.464269876668572,55.326259503717935,1.4,147.0,4.6,152.6,32.3,44.9,20.8,18.8,39.9,14.6,19.7,0.6,0.7,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,NE,173.183,241.6,0.6,23.4,22.1,59.8,18.0,74.6,5.9,88.8,6.1,0.0,2.9,25.5,25.1,37.0,7.6,42.0,38.9,11.5,78.0,4.73,66182.61286361972,2.919729301217237,90.805,2.597,34.963,53.245,9358.0,1006.0,2047.0,6305.0,2.0,1.18,533.0,22.249290960657405,51.57685501660485,6.7,194.0,4.4,142.2,29.1,43.4,25.7,26.8,3.5,24.7,21.4,1.5,0.0,0.0,10.4,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,GE,460.534,1873.5,0.6,39.4,21.6,62.3,16.1,99.2,5.8,80.8,7.3,0.0,10.6,36.7,11.7,35.1,30.2,41.5,13.8,14.5,75.0,4.97,104520.26990140093,4.117887345506093,277.098,1.813,43.956,231.329,24770.0,457.0,3436.0,20877.0,3.4,0.33,477.0,35.102749985021866,34.38579673676433,4.0,337.0,5.9,178.1,27.0,33.1,37.3,18.7,9.8,19.1,16.0,0.0,1.0,3.2,6.5,14.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,JU,70.542,84.1,0.7,12.7,22.8,58.7,18.5,30.6,6.7,92.2,3.7,0.0,0.0,68.9,9.9,11.5,5.7,49.3,44.2,0.8,77.8,3.21,55783.62455070223,3.2140220664987686,36.867,3.265,15.498,18.104,4694.0,1176.0,988.0,2530.0,2.5,1.92,563.0,12.270883302241568,57.599715732433154,2.2,146.0,5.1,144.8,34.2,46.1,18.0,9.5,33.2,30.8,15.5,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,ZH,1408.575,848.0487188132,2.5859607827,24.9261132705,19.5791491401,63.7890066202,16.6318442397,95.1424666773,83.8838251328881,3.208140248057789,5.817602562355186,0.3181647812457407,6.374795556767071,27.44940029985008,32.146057652991686,24.21008245877061,21.8585335099,41.655628756,30.3524226527,6.1334150814,82.5472573392894,3.1972310851,92553.268342364,1.2989233147,955.8594143123,12.2369631983,146.49541362440002,797.1270374896001,107793.0,3977.0,13430.0,90386.0,5.4374101486,0.6006438764,498.3237527255,38.79389108603348,37.90323523945555,3.1711,250.3211567181,4.4999213477,170.3652054948,16.89793637504014,45.208433785201,36.36194299540436,11.6448257808,5.030528911,19.2682401358,29.8435988277,5.2784501544,3.2265779231,11.4851313646,0.2386951747,8.392127615,2.4500335381,652.0,2.1,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,BE,992.617,169.9346192629,1.3079173139,14.0048981631,19.3670872048,61.1979242749,19.4349885202,62.841458488,85.1489998215571,10.617232793733182,2.902271973326978,0.1054725072185542,2.9753257780529605,15.575430448586287,55.49933473133565,16.209321905003705,6.913494891,42.5801341484,31.3315668384,19.1748041221,82.56919779546847,2.3331066001,67703.716644467,1.3668724612,617.5271927019,35.707679617000004,131.8129968388,450.0065162461,80021.0,12041.0,12091.0,55889.0,3.8977772897,1.2314231425,504.3967489843,28.043492937461085,43.70653894335716,4.22133,212.0191905583,5.0905534189,195.7279880344,19.543823134723368,51.99833052092446,27.18860000082921,8.6538737308,2.0662449158,19.3210129931,29.002852222,14.8786369277,4.1734758748,5.2885971913,0.3425051771,9.4102171057,3.667207483,455.0,2.12,39.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,LU,386.082,270.1555513571,2.2435846508,16.9533933206,21.2444506607,62.3846747582,16.370874581,50.8604389741,90.3803356068123,1.6939974521176533,2.778568991583224,0.2322104068786563,2.941019966758587,64.78569930606201,11.036337059167838,13.802385744379166,9.6322534853,53.4524782044,29.933307442,6.9819608683,81.36393784528798,1.9613362923,60905.281119043,1.3349998403,231.8586909415,14.5001918677,53.9579417268,163.400557347,29799.0,5070.0,4564.0,20165.0,6.5840935345,0.7027434128,513.5823607337,22.50772181478115,49.90886116914701,2.06013,157.7769257075,3.9452332967,141.8218653001,21.682122968938558,49.758837400684186,27.31503179213149,18.3749611967,27.1255370274,11.4572298777,25.1040404283,2.1372808396,0.7455175801,6.1178235372,0.0,8.2685292221,0.2127045376,162.0,2.31,34.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,UR,35.693,33.7573533584,0.7650612614,10.520270081,21.0461435015,60.2695206343,18.6843358642,0.0,94.05561207188876,0.6563466598847068,2.7022558494404887,0.0,1.5750981349610038,81.61749745676501,4.699898270600204,8.053577483892845,1.8552582683,24.1759568933,20.0975473802,53.8712374582,78.57050924535586,1.2558001511,48732.916915304,3.6865562527,17.9496314011,1.7086666666,5.5802064878,10.6607582467,2741.0,660.0,397.0,1684.0,4.1184545989,0.6725211205,521.2820078006,9.681535730137597,55.54260985352863,1.12769,95.2541043313,2.0452189505,104.5374604291,31.825582780667965,50.41896668122791,17.259044517691912,74.2680412371,0.0,21.4680412371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.37,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,SZ,149.83,175.9518049651,2.112724051,19.3379163051,20.8389508109,63.4412333979,15.7198157912,80.311019155,89.60595593951099,2.0459517722766725,2.8192942948959394,0.4959161744788953,3.797792968593478,63.79554907319106,11.27317022350801,14.39699318016076,6.0588708168,40.5521479149,33.7345417304,19.6544395379,81.54627265578736,1.5083826725,54317.263848322,0.8149642468,75.5656372319,4.7888059441,19.7489565509,51.0278747369,13849.0,1775.0,2300.0,9774.0,9.0302342655,0.7371589421,616.3998269148,16.227410091864623,56.5864406371528,1.44553,132.1735879789,1.707158524,102.5277596781,23.285575703305724,47.94231773748228,27.57909857473323,15.4751022922,20.5635942563,15.6553213033,37.9821566114,3.4450715004,1.1061551218,0.0,0.0,3.8304870962,0.0,62.0,2.34,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,OW,36.115,75.1315816847,1.4893915976,13.8003599612,21.3816973557,62.4172781393,16.2010245051,0.0,92.5552915983538,1.2924840231538797,1.87376541640178,0.0,2.779975808880115,73.9953826078228,7.250644092749356,12.098905878810186,3.8303944552,36.8627051269,40.7012536948,18.6056467231,84.39620636088627,0.9219858156,58082.60227758,1.0584492655,21.6028418783,1.8460164835,7.1186692733,12.6381561215,3641.0,710.0,562.0,2369.0,10.3004291845,0.6503902341,576.8705587293,11.646280519727762,56.97015848841083,1.19549,113.5388108886,2.1043887581,84.5,22.56933501418216,49.88181531673495,26.24093917428301,0.0,0.0,0.0,43.1020147106,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.33,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,NW,41.584,172.1904761905,1.3650546022,12.4711427472,19.3415736822,63.2623124279,17.39611389,87.4975952289,92.92175935116128,1.665821257408615,2.4021023452343817,0.0,2.645120778152738,68.82851714261407,10.710943481836486,13.935286277401245,5.3683981743,37.0173150764,33.3043541259,24.3099326233,80.2702417396812,1.0075063504,58967.965377355,2.2107868335,22.2098483361,1.3917777778,6.1586731046,14.6593974537,3961.0,513.0,578.0,2870.0,4.496921893,2.3665167221,601.2200140398,14.807624426403104,59.26138369219908,0.88112,127.4620619995,1.8516737207,112.4313891067,22.029214370311884,50.911304118963024,26.26332412159495,35.202020202,0.0,0.0,45.2300785634,0.0,0.0,0.0,0.0,19.5679012346,0.0,18.0,2.26,39.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
