Text,Polarity,Subjectivity,Intensity
I kept the budget very similiar to last year (y9).,0.123419913,0.363051948,0.123419913
Expenses are dropping year upon year. I am just co,0,0,0
"I have allowed just over 180,000 including a safet",0.078787879,0.484848485,0.078787879
Budgeted expenses seem to be usually around the 18,-0.125,0.241666667,0.125
There will be some overall increase in cost which ,0.266666667,0.166666667,0.266666667
I have gone in between the last two year's budgete,0,0.066666667,0
I took an average of the Budgeting expenses over t,-0.008333333,0.420833333,0.008333333
I can see that budget has increased from year 8 to,0.136363636,0.454545455,0.136363636
"Following inflation and economic growth, the budge",0.0875,0.295833333,0.0875
I budgeted the amount I did as I can see that the ,-0.033333333,0.333333333,0.033333333
the last 2 years there has been a buffer of about ,0.266666667,0.522222222,0.266666667
I have budgeted a similar amount to the previous y,0.006666667,0.333333333,0.006666667
It has only been above 180000 3 times in the past ,-0.033888889,0.447222222,0.033888889
"Without knowing what the actual expenses would be,",0.063636364,0.427272727,0.063636364
Actual expenses have been in decline for the past ,-0.016666667,0.316666667,0.016666667
I can see a downward trend but to leave a buffer z,0,0,0
By creating a rough mean average between year 8 an,-0.126388889,0.426388889,0.126388889
There is usually a large safety buffer but in the ,0.052579365,0.303769841,0.052579365
It provides an adequate buffer based on recent his,0.166666667,0.291666667,0.166666667
I budgeted a little less than Y9 because the trend,-0.081770833,0.254166667,0.081770833
I feel £185k is a good amount compared to the prev,0.073333333,0.226666667,0.073333333
"The actual expenses has never gone above 200,000 a",0.186904762,0.380952381,0.186904762
Y9's expenses were well below the past 5 years ave,-0.108846154,0.351153846,0.108846154
I wanted to build in enough of a buffer in order t,0.05,0.75,0.05
On average it seems that the budget for previous y,-0.041414141,0.371717172,0.041414141
Expenditure rose steadily until year 7. Since then,0.085185185,0.539814815,0.085185185
i have budgeted a higher amount compared to previo,-0.027777778,0.277777778,0.027777778
I budgeted less as it seems they are spending less,-0.111111111,0.127777778,0.111111111
Despite the downward trend year on year in budget ,0.071428571,0.198412698,0.071428571
"The actual expenses are decreasing every year, so ",-0.066666667,0.326851852,0.066666667
The optimum safety buffer would appear to be aroun,0.153571429,0.363095238,0.153571429
Actual expenses appear to be decreasing in recent ,0,0.175,0
I kept it around the same as last year as there ha,-0.07369697,0.258621212,0.07369697
"""It is always best to budget more than actually ne",0.32,0.385,0.32
"""The actual expense of """"DO"""" has decreased over t",-0.059074074,0.26462963,0.059074074
Without any context as to the fluctuations where t,0.007407407,0.268981481,0.007407407
"I don't want to go over budget, but I also don't w",0.1046875,0.369270833,0.1046875
I took the average of the last three years to get ,-0.158333333,0.302777778,0.158333333
I have taken the sensible but important decision t,0.153571429,0.527380952,0.153571429
After two years of falling expenses the unpredicta,0.071428571,0.19047619,0.071428571
Y10 is set based on looking at the previous years ,0.003787879,0.309090909,0.003787879
"The prior year cost of 132,033 is a historical low",0.163846154,0.375042735,0.163846154
"Since Y7, both the proposed budget and actual expe",-0.053703704,0.292592593,0.053703704
"After large spends in year Yrs 5,6 & 7 our total n",0.018928571,0.298690476,0.018928571
Due to the pattern of this expense decreasing over,-0.015625,0.166041667,0.015625
"Each year expenses average around 160k, so wanted ",-0.15,0.4,0.15
"Keeps a similar buffer to the past year, hard to l",-0.0125,0.3175,0.0125
Money spent in Y9 was unusually low compared to al,-0.061111111,0.131944444,0.061111111
"I have decided to budget to 197000, (it was not po",0.133333333,0.57,0.133333333
The forecast budget for year 10 was based on the a,-0.083333333,0.133333333,0.083333333
"From Y8 to Y9, there has been a largest safety buf",0.247272727,0.330909091,0.247272727
Going through the past 9 years I would expect the ,-0.091388889,0.299722222,0.091388889
"Based on the limited information, in the last few ",-0.028571429,0.201587302,0.028571429
In these uncertain times we are facing we find cos,0.014452214,0.42988345,0.014452214
Based on the previous years expenses I looked at t,-0.125,0.141666667,0.125
The budgeted expenses in years 5 to 7 were quite h,0.08825,0.384666667,0.08825
The last two years have had lower actual expenses.,-0.055555556,0.111111111,0.055555556
Even though there is a track record for coming in ,0.291666667,0.491666667,0.291666667
years Y6 & y7 saw a drastic increase followed by l,0.25,0.5,0.25
I based my estimate on computing an average of the,-0.029166667,0.191666667,0.029166667
